Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,Karachi,6150000.0,2021,91000.0,Petrol,1800 cc,Automatic
Lexus UX 300e,Karachi,14900000.0,2021,32824.0,Electric,55.0 kWh,Automatic
Toyota Corolla XLi VVTi Limited Edition,Karachi,2850000.0,2014,124223.0,Petrol,1300 cc,Manual
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,4800000.0,2017,86905.0,Petrol,1800 cc,Automatic
Daihatsu Cuore CX,Karachi,900000.0,2009,117869.0,Petrol,800 cc,Manual
Toyota Corolla XLi VVTi,Karachi,2725000.0,2012,148000.0,Petrol,1300 cc,Manual
Honda Accord,Karachi,625000.0,1989,600000.0,Petrol,1500 cc,Manual
Daihatsu Move Custom X,Karachi,2000000.0,2014,40000.0,Petrol,660 cc,Automatic
Suzuki Alto VXR,Karachi,880000.0,2008,100000.0,Petrol,1000 cc,Manual
Toyota Raize Z,Karachi,6300000.0,2020,55000.0,Petrol,1000 cc,Automatic
Suzuki Cultus EURO II,Karachi,1300000.0,2013,105661.0,Petrol,1000 cc,Manual
Proton Saga 1.3L Ace A/T,Karachi,2900000.0,2022,33429.0,Petrol,1299 cc,Automatic
Toyota Aqua X Urban Solid,Karachi,5500000.0,2018,126543.0,Hybrid,1500 cc,Automatic
Honda Fit 1.5 Hybrid Smart Selection,Karachi,3190000.0,2014,239009.0,Hybrid,1500 cc,Automatic
Nissan Dayz J,Karachi,2300000.0,2017,67000.0,Petrol,660 cc,Automatic
Suzuki Mehran VXR,Karachi,800000.0,2010,540000.0,Petrol,800 cc,Manual
Honda City 5th (GM2) Generation 1.3 i-VTEC Prosmatec,Karachi,3875000.0,2021,38000.0,Petrol,1300 cc,Automatic
Honda City 6th Generation 1.2L CVT,Karachi,4500000.0,2023,35000.0,Petrol,1200 cc,Automatic
Isuzu D-Max X-Terrain,Karachi,14500000.0,2025,4500.0,Diesel,3000 cc,Automatic
Toyota Aqua,Karachi,5450000.0,2020,30498.0,Hybrid,1500 cc,Automatic
Honda Vezel Hybrid Z,Karachi,5500000.0,2015,142000.0,Hybrid,1500 cc,Automatic
Suzuki Mehran VXR (CNG),Karachi,825000.0,2011,78400.0,Petrol,800 cc,Manual
Honda City 1.5L ASPIRE CVT,Karachi,5100000.0,2022,55208.0,Petrol,1500 cc,Automatic
Honda N Wgn G,Karachi,3500000.0,2021,32158.0,Petrol,660 cc,Automatic
Honda Civic Rebirth VTi Oriel Prosmatec 1.8 i-VTEC,Karachi,2800000.0,2012,82410.0,Petrol,1800 cc,Automatic
Toyota Surf SSR-X 4.0,Karachi,7700000.0,2006,246200.0,Petrol,4000 cc,Automatic
